CF_age band,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Age,Education,Employee Count
Over 55,R&D,Medical,1360,Female,Manufacturing Director,Married,58,Master's Degree,1
35 - 44,R&D,Life Sciences,1361,Male,Laboratory Technician,Married,40,Master's Degree,1
35 - 44,Sales,Marketing,1362,Female,Sales Executive,Married,36,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,1363,Male,Manufacturing Director,Single,48,Bachelor's Degree,1
25 - 34,Sales,Medical,1364,Female,Sales Representative,Married,27,Bachelor's Degree,1
45 - 54,R&D,Technical Degree,1367,Female,Manufacturing Director,Single,51,Associates Degree,1
Under 25,R&D,Life Sciences,1368,Female,Laboratory Technician,Single,18,Bachelor's Degree,1
35 - 44,R&D,Medical,1369,Female,Laboratory Technician,Married,35,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1371,Male,Sales Executive,Single,27,High School,1
Over 55,Sales,Marketing,1372,Male,Sales Executive,Single,55,Master's Degree,1
Over 55,R&D,Life Sciences,1373,Male,Manufacturing Director,Married,56,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,1374,Female,Research Scientist,Divorced,34,High School,1
35 - 44,R&D,Medical,1375,Female,Healthcare Representative,Divorced,40,High School,1
25 - 34,R&D,Medical,1377,Male,Laboratory Technician,Married,34,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1379,Female,Sales Representative,Single,31,Bachelor's Degree,1
35 - 44,Sales,Marketing,1380,Female,Sales Executive,Married,35,Master's Degree,1
35 - 44,R&D,Life Sciences,1382,Male,Research Scientist,Divorced,38,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,1383,Female,Healthcare Representative,Single,34,Master's Degree,1
25 - 34,Sales,Life Sciences,1387,Male,Sales Executive,Married,28,Bachelor's Degree,1
25 - 34,R&D,Medical,1389,Male,Manufacturing Director,Married,31,Master's Degree,1
35 - 44,Sales,Life Sciences,1390,Male,Sales Executive,Married,39,Master's Degree,1
45 - 54,Sales,Marketing,1391,Male,Sales Executive,Married,51,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1392,Female,Research Scientist,Divorced,41,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1394,Male,Research Scientist,Married,37,High School,1
25 - 34,Sales,Life Sciences,1395,Male,Sales Executive,Married,33,High School,1
25 - 34,Sales,Marketing,1396,Male,Sales Executive,Married,32,High School,1
35 - 44,R&D,Life Sciences,1397,Male,Healthcare Representative,Married,39,Associates Degree,1
25 - 34,Sales,Life Sciences,1399,Male,Sales Executive,Married,25,High School,1
45 - 54,R&D,Medical,1401,Female,Manufacturing Director,Married,52,Associates Degree,1
35 - 44,R&D,Medical,1402,Female,Research Scientist,Single,43,Bachelor's Degree,1
25 - 34,Sales,Marketing,1403,Female,Sales Executive,Married,27,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1405,Female,Research Scientist,Single,27,Master's Degree,1
25 - 34,R&D,Medical,1407,Male,Research Scientist,Single,26,High School,1
35 - 44,HR,Human Resources,1408,Female,Manager,Married,42,Bachelor's Degree,1
25 - 34,R&D,Medical,1955,Female,Healthcare Representative,Divorced,32,Master's Degree,1
35 - 44,R&D,Medical,1662,Female,Manufacturing Director,Married,36,Master's Degree,1
35 - 44,R&D,Life Sciences,1630,Female,Healthcare Representative,Married,35,Master's Degree,1
45 - 54,R&D,Medical,2000,Female,Research Director,Married,47,High School,1
Under 25,R&D,Medical,1839,Female,Research Scientist,Single,18,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,1929,Female,Sales Executive,Married,39,Master's Degree,1
Under 25,Sales,Life Sciences,1495,Female,Sales Representative,Married,24,Associates Degree,1
25 - 34,Sales,Marketing,1756,Female,Sales Executive,Single,33,Bachelor's Degree,1
45 - 54,R&D,Medical,1900,Female,Manager,Divorced,48,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,2025,Female,Manufacturing Director,Divorced,36,Associates Degree,1
35 - 44,R&D,Medical,1760,Female,Laboratory Technician,Married,38,Associates Degree,1
25 - 34,R&D,Life Sciences,1870,Female,Research Scientist,Married,27,Bachelor's Degree,1
35 - 44,R&D,Technical Degree,1985,Female,Laboratory Technician,Married,40,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1513,Female,Laboratory Technician,Married,29,High School,1
35 - 44,R&D,Medical,1633,Female,Manufacturing Director,Single,39,Bachelor's Degree,1
35 - 44,R&D,Medical,1480,Female,Laboratory Technician,Single,42,Associates Degree,1
25 - 34,R&D,Technical Degree,1745,Female,Research Scientist,Single,30,Master's Degree,1
35 - 44,Sales,Marketing,1481,Female,Sales Executive,Married,44,Doctoral Degree,1
25 - 34,Sales,Marketing,1833,Female,Sales Executive,Married,31,Master's Degree,1
25 - 34,HR,Human Resources,1987,Female,Human Resources,Married,25,Bachelor's Degree,1
45 - 54,HR,Life Sciences,1625,Female,Manager,Married,47,Master's Degree,1
25 - 34,HR,Medical,1461,Female,Human Resources,Single,31,Associates Degree,1
25 - 34,R&D,Medical,1916,Female,Laboratory Technician,Divorced,31,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1829,Female,Healthcare Representative,Divorced,40,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1822,Female,Healthcare Representative,Divorced,40,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,1762,Female,Research Scientist,Divorced,29,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1658,Female,Research Scientist,Divorced,34,Bachelor's Degree,1
45 - 54,R&D,Other,1635,Female,Manufacturing Director,Divorced,45,Associates Degree,1
45 - 54,R&D,Life Sciences,1656,Female,Research Director,Divorced,50,Doctoral Degree,1
25 - 34,R&D,Medical,1502,Female,Laboratory Technician,Married,33,Master's Degree,1
35 - 44,R&D,Medical,1866,Female,Manager,Married,43,Bachelor's Degree,1
45 - 54,R&D,Technical Degree,1786,Female,Manager,Married,51,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1701,Female,Research Scientist,Married,34,Bachelor's Degree,1
25 - 34,R&D,Medical,1647,Female,Research Scientist,Married,27,Bachelor's Degree,1
45 - 54,R&D,Other,1409,Female,Laboratory Technician,Married,52,Master's Degree,1
35 - 44,R&D,Medical,2015,Female,Research Director,Married,38,Bachelor's Degree,1
35 - 44,R&D,Medical,1640,Female,Research Scientist,Married,37,Bachelor's Degree,1
25 - 34,R&D,Other,1544,Female,Healthcare Representative,Married,29,High School,1
35 - 44,R&D,Life Sciences,2052,Female,Research Scientist,Married,35,Master's Degree,1
35 - 44,R&D,Life Sciences,1802,Female,Laboratory Technician,Married,40,Associates Degree,1
45 - 54,R&D,Life Sciences,1617,Female,Laboratory Technician,Married,49,Master's Degree,1
45 - 54,R&D,Other,1576,Female,Research Scientist,Married,48,Master's Degree,1
25 - 34,R&D,Life Sciences,1447,Female,Laboratory Technician,Married,34,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1555,Female,Research Scientist,Married,32,Associates Degree,1
35 - 44,R&D,Other,1782,Female,Laboratory Technician,Married,38,Associates Degree,1
35 - 44,R&D,Medical,1687,Female,Laboratory Technician,Married,38,Associates Degree,1
25 - 34,R&D,Medical,1709,Female,Laboratory Technician,Married,29,Master's Degree,1
45 - 54,R&D,Medical,1830,Female,Research Scientist,Married,54,Master's Degree,1
35 - 44,R&D,Life Sciences,1628,Female,Manufacturing Director,Married,40,Bachelor's Degree,1
45 - 54,R&D,Other,1655,Female,Research Director,Married,49,Master's Degree,1
45 - 54,R&D,Life Sciences,1969,Female,Research Scientist,Married,54,Associates Degree,1
45 - 54,R&D,Medical,1443,Female,Research Director,Married,47,Master's Degree,1
45 - 54,R&D,Life Sciences,1888,Female,Manufacturing Director,Married,45,Associates Degree,1
35 - 44,R&D,Life Sciences,1651,Female,Healthcare Representative,Married,36,Master's Degree,1
25 - 34,R&D,Other,1607,Female,Research Scientist,Married,32,Master's Degree,1
35 - 44,R&D,Medical,2051,Female,Research Scientist,Married,40,Master's Degree,1
25 - 34,R&D,Life Sciences,1430,Female,Research Director,Single,31,Doctoral Degree,1
35 - 44,R&D,Medical,1411,Female,Laboratory Technician,Single,37,Bachelor's Degree,1
25 - 34,R&D,Medical,1816,Female,Manufacturing Director,Single,30,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1525,Female,Manufacturing Director,Single,39,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,1856,Female,Laboratory Technician,Single,47,Master's Degree,1
25 - 34,R&D,Life Sciences,2010,Female,Laboratory Technician,Single,32,Master's Degree,1
Under 25,R&D,Medical,1735,Female,Laboratory Technician,Single,23,High School,1
25 - 34,R&D,Medical,1751,Female,Research Scientist,Single,27,Bachelor's Degree,1
25 - 34,R&D,Medical,2054,Female,Research Scientist,Single,29,Master's Degree,1
35 - 44,R&D,Life Sciences,1529,Female,Healthcare Representative,Single,35,Bachelor's Degree,1
45 - 54,R&D,Technical Degree,1719,Female,Research Director,Single,45,Associates Degree,1
45 - 54,R&D,Medical,1422,Female,Research Director,Single,54,Bachelor's Degree,1
45 - 54,Sales,Technical Degree,1863,Female,Sales Executive,Divorced,46,Bachelor's Degree,1
45 - 54,Sales,Life Sciences,1557,Female,Sales Executive,Divorced,48,Master's Degree,1
25 - 34,Sales,Marketing,1428,Female,Sales Executive,Divorced,30,Master's Degree,1
45 - 54,Sales,Life Sciences,1676,Female,Manager,Divorced,47,Master's Degree,1
35 - 44,Sales,Life Sciences,2041,Female,Sales Executive,Married,38,Associates Degree,1
35 - 44,Sales,Marketing,2045,Female,Sales Executive,Married,36,Master's Degree,1
35 - 44,Sales,Marketing,2056,Female,Sales Executive,Married,39,High School,1
35 - 44,Sales,Marketing,1986,Female,Sales Executive,Married,40,Associates Degree,1
25 - 34,Sales,Medical,1875,Female,Sales Representative,Married,28,Bachelor's Degree,1
45 - 54,Sales,Life Sciences,1527,Female,Manager,Married,46,Bachelor's Degree,1
Over 55,Sales,Marketing,1935,Female,Sales Executive,Married,56,Doctoral Degree,1
35 - 44,Sales,Life Sciences,1598,Female,Sales Executive,Married,40,Associates Degree,1
25 - 34,Sales,Marketing,1784,Female,Sales Executive,Married,31,Master's Degree,1
35 - 44,Sales,Medical,2024,Female,Sales Executive,Married,36,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1673,Female,Sales Executive,Married,31,Master's Degree,1
35 - 44,Sales,Marketing,1436,Female,Sales Executive,Married,36,Master's Degree,1
25 - 34,Sales,Marketing,2016,Female,Sales Executive,Married,32,Master's Degree,1
25 - 34,Sales,Medical,1898,Female,Sales Executive,Single,27,Associates Degree,1
35 - 44,Sales,Life Sciences,1583,Female,Sales Executive,Single,38,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,1585,Female,Sales Executive,Single,36,Master's Degree,1
Under 25,Sales,Medical,1657,Female,Sales Representative,Single,20,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,1710,Female,Sales Representative,Single,36,Master's Degree,1
25 - 34,Sales,Life Sciences,1779,Female,Sales Executive,Single,34,Associates Degree,1
25 - 34,Sales,Other,2060,Female,Sales Representative,Single,26,Bachelor's Degree,1
45 - 54,Sales,Life Sciences,2046,Female,Sales Executive,Single,45,Bachelor's Degree,1
45 - 54,Sales,Marketing,1757,Female,Sales Executive,Single,49,Master's Degree,1
25 - 34,HR,Life Sciences,1858,Male,Human Resources,Divorced,28,Associates Degree,1
35 - 44,HR,Human Resources,1805,Male,Human Resources,Divorced,38,Bachelor's Degree,1
35 - 44,HR,Human Resources,1722,Male,Human Resources,Married,41,Bachelor's Degree,1
35 - 44,R&D,Medical,1804,Male,Manufacturing Director,Divorced,35,Associates Degree,1
35 - 44,R&D,Medical,1468,Male,Research Director,Divorced,40,High School,1
25 - 34,R&D,Technical Degree,1482,Male,Research Scientist,Divorced,30,Bachelor's Degree,1
35 - 44,R&D,Other,1449,Male,Laboratory Technician,Divorced,40,Master's Degree,1
25 - 34,R&D,Technical Degree,1771,Male,Research Scientist,Divorced,33,Bachelor's Degree,1
25 - 34,R&D,Medical,1994,Male,Laboratory Technician,Divorced,33,Associates Degree,1
45 - 54,R&D,Technical Degree,1934,Male,Research Scientist,Married,47,Master's Degree,1
25 - 34,R&D,Technical Degree,1574,Male,Research Scientist,Married,32,Master's Degree,1
35 - 44,R&D,Life Sciences,1813,Male,Research Scientist,Single,43,Bachelor's Degree,1
25 - 34,R&D,Medical,2057,Male,Manufacturing Director,Single,31,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,1764,Male,Research Scientist,Single,32,Master's Degree,1
35 - 44,R&D,Life Sciences,1471,Male,Laboratory Technician,Single,44,Bachelor's Degree,1
25 - 34,R&D,Medical,1947,Male,Research Scientist,Single,28,Bachelor's Degree,1
35 - 44,R&D,Technical Degree,1440,Male,Laboratory Technician,Single,37,Associates Degree,1
35 - 44,R&D,Life Sciences,1976,Male,Research Scientist,Single,42,Associates Degree,1
35 - 44,R&D,Life Sciences,2022,Male,Manager,Single,39,Bachelor's Degree,1
45 - 54,Sales,Life Sciences,2019,Male,Sales Representative,Divorced,52,Master's Degree,1
45 - 54,Sales,Marketing,1612,Male,Sales Executive,Married,45,Bachelor's Degree,1
45 - 54,Sales,Marketing,1731,Male,Sales Executive,Married,47,Master's Degree,1
45 - 54,Sales,Life Sciences,1801,Male,Sales Executive,Single,46,Associates Degree,1
35 - 44,HR,Human Resources,1563,Male,Human Resources,Married,38,Master's Degree,1
Under 25,HR,Medical,1746,Male,Human Resources,Married,24,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1590,Male,Healthcare Representative,Divorced,29,High School,1
25 - 34,R&D,Life Sciences,1615,Male,Manufacturing Director,Divorced,34,Master's Degree,1
25 - 34,R&D,Medical,1485,Male,Research Director,Divorced,34,Bachelor's Degree,1
25 - 34,R&D,Other,1431,Male,Research Scientist,Divorced,34,Master's Degree,1
25 - 34,R&D,Life Sciences,1653,Male,Manufacturing Director,Divorced,25,High School,1
45 - 54,R&D,Life Sciences,1941,Male,Research Director,Married,49,High School,1
25 - 34,R&D,Medical,1852,Male,Laboratory Technician,Married,29,High School,1
35 - 44,R&D,Life Sciences,1997,Male,Manufacturing Director,Married,38,Master's Degree,1
25 - 34,R&D,Life Sciences,1720,Male,Research Scientist,Married,32,Bachelor's Degree,1
25 - 34,R&D,Other,1918,Male,Laboratory Technician,Married,26,Bachelor's Degree,1
35 - 44,R&D,Medical,2061,Male,Laboratory Technician,Married,36,Associates Degree,1
25 - 34,R&D,Technical Degree,1597,Male,Healthcare Representative,Married,34,Master's Degree,1
35 - 44,R&D,Life Sciences,1668,Male,Research Scientist,Married,38,Bachelor's Degree,1
45 - 54,R&D,Medical,1922,Male,Healthcare Representative,Single,45,Master's Degree,1
35 - 44,R&D,Life Sciences,1412,Male,Manufacturing Director,Single,35,Associates Degree,1
25 - 34,R&D,Medical,1648,Male,Research Scientist,Single,27,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,1812,Male,Sales Executive,Divorced,39,Bachelor's Degree,1
35 - 44,Sales,Medical,1700,Male,Sales Executive,Divorced,37,Master's Degree,1
45 - 54,Sales,Medical,2065,Male,Sales Executive,Married,49,Bachelor's Degree,1
25 - 34,Sales,Medical,1477,Male,Sales Executive,Married,33,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1507,Male,Sales Executive,Single,28,Bachelor's Degree,1
25 - 34,Sales,Other,1613,Male,Sales Executive,Single,31,Master's Degree,1
25 - 34,Sales,Marketing,1853,Male,Sales Executive,Single,32,Master's Degree,1
35 - 44,HR,Other,1794,Male,Human Resources,Divorced,37,Associates Degree,1
25 - 34,HR,Medical,1865,Male,Human Resources,Married,29,High School,1
25 - 34,HR,Other,1419,Male,Human Resources,Single,29,Bachelor's Degree,1
35 - 44,HR,Life Sciences,1778,Male,Human Resources,Single,43,Bachelor's Degree,1
Over 55,R&D,Technical Degree,1694,Male,Research Scientist,Divorced,55,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1506,Male,Research Scientist,Divorced,28,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1892,Male,Manager,Divorced,40,Master's Degree,1
25 - 34,R&D,Life Sciences,1881,Male,Laboratory Technician,Divorced,31,Bachelor's Degree,1
35 - 44,R&D,Medical,1627,Male,Laboratory Technician,Divorced,39,Associates Degree,1
35 - 44,R&D,Medical,1474,Male,Research Scientist,Divorced,40,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,1857,Male,Manufacturing Director,Divorced,46,Associates Degree,1
35 - 44,R&D,Technical Degree,1599,Male,Laboratory Technician,Divorced,43,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1940,Male,Research Scientist,Divorced,38,Associates Degree,1
Over 55,R&D,Medical,1424,Male,Research Director,Divorced,55,Master's Degree,1
45 - 54,R&D,Life Sciences,1484,Male,Healthcare Representative,Divorced,49,Master's Degree,1
25 - 34,R&D,Life Sciences,1859,Male,Healthcare Representative,Divorced,29,High School,1
25 - 34,R&D,Other,1619,Male,Laboratory Technician,Divorced,27,Bachelor's Degree,1
25 - 34,R&D,Medical,1671,Male,Research Scientist,Divorced,32,Bachelor's Degree,1
45 - 54,R&D,Technical Degree,1553,Male,Healthcare Representative,Divorced,45,Master's Degree,1
Under 25,R&D,Medical,1725,Male,Laboratory Technician,Divorced,24,High School,1
Under 25,R&D,Technical Degree,1551,Male,Laboratory Technician,Divorced,24,Associates Degree,1
35 - 44,R&D,Other,1871,Male,Research Scientist,Divorced,39,Master's Degree,1
35 - 44,R&D,Life Sciences,2031,Male,Manager,Married,42,Bachelor's Degree,1
35 - 44,R&D,Medical,1543,Male,Research Scientist,Married,37,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1434,Male,Laboratory Technician,Married,27,High School,1
35 - 44,R&D,Life Sciences,1621,Male,Research Scientist,Married,35,Doctoral Degree,1
25 - 34,R&D,Medical,2068,Male,Laboratory Technician,Married,34,Bachelor's Degree,1
45 - 54,R&D,Medical,1689,Male,Healthcare Representative,Married,53,Master's Degree,1
45 - 54,R&D,Life Sciences,1867,Male,Research Director,Married,48,Bachelor's Degree,1
25 - 34,R&D,Medical,1989,Male,Laboratory Technician,Married,30,Associates Degree,1
25 - 34,R&D,Life Sciences,1954,Male,Healthcare Representative,Married,29,Bachelor's Degree,1
45 - 54,R&D,Technical Degree,1473,Male,Healthcare Representative,Married,49,Master's Degree,1
35 - 44,R&D,Life Sciences,1971,Male,Healthcare Representative,Married,43,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,1415,Male,Laboratory Technician,Married,25,Bachelor's Degree,1
45 - 54,R&D,Technical Degree,1438,Male,Research Scientist,Married,47,Bachelor's Degree,1
35 - 44,R&D,Medical,1826,Male,Laboratory Technician,Married,35,Master's Degree,1
25 - 34,R&D,Medical,1609,Male,Research Scientist,Married,30,Bachelor's Degree,1
25 - 34,R&D,Medical,1696,Male,Laboratory Technician,Married,34,Associates Degree,1
25 - 34,R&D,Technical Degree,1931,Male,Research Scientist,Married,27,Master's Degree,1
25 - 34,R&D,Life Sciences,1721,Male,Laboratory Technician,Married,31,Master's Degree,1
25 - 34,R&D,Life Sciences,1729,Male,Research Scientist,Married,30,High School,1
25 - 34,R&D,Life Sciences,1580,Male,Research Scientist,Married,34,Master's Degree,1
35 - 44,R&D,Life Sciences,1903,Male,Healthcare Representative,Married,44,Master's Degree,1
35 - 44,R&D,Medical,1542,Male,Laboratory Technician,Married,42,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1601,Male,Laboratory Technician,Married,35,Associates Degree,1
35 - 44,R&D,Medical,1911,Male,Research Director,Married,42,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1799,Male,Research Scientist,Married,28,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1763,Male,Healthcare Representative,Married,30,Bachelor's Degree,1
Under 25,R&D,Medical,1707,Male,Research Scientist,Married,24,Bachelor's Degree,1
35 - 44,R&D,Medical,2062,Male,Healthcare Representative,Married,39,High School,1
35 - 44,R&D,Life Sciences,1523,Male,Research Director,Married,44,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1728,Male,Manufacturing Director,Married,35,Master's Degree,1
25 - 34,R&D,Life Sciences,1798,Male,Research Scientist,Married,33,Master's Degree,1
Under 25,R&D,Technical Degree,1592,Male,Research Scientist,Married,23,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1682,Male,Healthcare Representative,Married,36,Master's Degree,1
35 - 44,R&D,Life Sciences,2012,Male,Laboratory Technician,Married,40,Master's Degree,1
35 - 44,R&D,Medical,1803,Male,Healthcare Representative,Married,42,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1596,Male,Laboratory Technician,Married,35,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1514,Male,Manufacturing Director,Married,28,High School,1
25 - 34,R&D,Life Sciences,1558,Male,Research Scientist,Married,29,Bachelor's Degree,1
35 - 44,R&D,Medical,1618,Male,Manufacturing Director,Married,39,Doctoral Degree,1
25 - 34,R&D,Medical,1698,Male,Laboratory Technician,Married,33,Bachelor's Degree,1
Over 55,R&D,Medical,1770,Male,Research Director,Married,55,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1631,Male,Manufacturing Director,Married,37,Bachelor's Degree,1
25 - 34,R&D,Medical,1718,Male,Laboratory Technician,Married,26,Master's Degree,1
35 - 44,R&D,Life Sciences,1435,Male,Laboratory Technician,Single,36,Master's Degree,1
35 - 44,R&D,Life Sciences,1659,Male,Laboratory Technician,Single,36,Bachelor's Degree,1
Under 25,R&D,Life Sciences,1533,Male,Laboratory Technician,Single,23,High School,1
25 - 34,R&D,Medical,1577,Male,Research Scientist,Single,34,Master's Degree,1
35 - 44,R&D,Life Sciences,2014,Male,Research Scientist,Single,39,High School,1
Under 25,R&D,Life Sciences,1981,Male,Healthcare Representative,Single,24,Associates Degree,1
35 - 44,R&D,Medical,2008,Male,Research Scientist,Single,35,Master's Degree,1
35 - 44,R&D,Life Sciences,1814,Male,Healthcare Representative,Single,41,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,2048,Male,Research Scientist,Single,40,Master's Degree,1
25 - 34,R&D,Medical,1952,Male,Laboratory Technician,Single,26,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,1727,Male,Healthcare Representative,Single,46,Master's Degree,1
45 - 54,R&D,Life Sciences,1677,Male,Manager,Single,49,Bachelor's Degree,1
Under 25,R&D,Medical,1623,Male,Research Scientist,Single,21,High School,1
25 - 34,R&D,Other,1417,Male,Laboratory Technician,Single,26,Bachelor's Degree,1
35 - 44,R&D,Medical,1564,Male,Laboratory Technician,Single,35,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1545,Male,Manufacturing Director,Single,33,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1883,Male,Laboratory Technician,Single,29,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,2038,Male,Research Scientist,Single,32,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1475,Male,Research Scientist,Single,44,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1860,Male,Laboratory Technician,Single,42,Bachelor's Degree,1
Under 25,R&D,Life Sciences,2007,Male,Research Scientist,Single,22,Associates Degree,1
Under 25,R&D,Other,1982,Male,Laboratory Technician,Single,23,Associates Degree,1
45 - 54,R&D,Medical,1472,Male,Research Director,Single,53,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1453,Male,Sales Executive,Divorced,31,Associates Degree,1
25 - 34,Sales,Marketing,1754,Male,Sales Executive,Divorced,30,Associates Degree,1
35 - 44,Sales,Life Sciences,2037,Male,Sales Executive,Divorced,41,Bachelor's Degree,1
25 - 34,Sales,Medical,1951,Male,Sales Executive,Divorced,34,Master's Degree,1
25 - 34,Sales,Life Sciences,1497,Male,Sales Executive,Divorced,29,Bachelor's Degree,1
25 - 34,Sales,Medical,1670,Male,Sales Executive,Divorced,33,Master's Degree,1
45 - 54,Sales,Marketing,1466,Male,Sales Executive,Divorced,48,Bachelor's Degree,1
35 - 44,Sales,Medical,1548,Male,Sales Executive,Married,40,Associates Degree,1
25 - 34,Sales,Life Sciences,1560,Male,Sales Executive,Married,33,Master's Degree,1
25 - 34,Sales,Life Sciences,1996,Male,Sales Representative,Married,31,Associates Degree,1
25 - 34,Sales,Technical Degree,1749,Male,Sales Executive,Married,31,Bachelor's Degree,1
25 - 34,Sales,Medical,2013,Male,Sales Representative,Married,32,Master's Degree,1
35 - 44,Sales,Medical,1945,Male,Sales Executive,Married,35,Master's Degree,1
25 - 34,Sales,Technical Degree,1568,Male,Sales Executive,Married,30,Master's Degree,1
35 - 44,Sales,Life Sciences,1582,Male,Sales Executive,Married,38,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1739,Male,Sales Executive,Married,32,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,1492,Male,Sales Representative,Married,35,High School,1
25 - 34,Sales,Marketing,1446,Male,Sales Executive,Married,32,Doctoral Degree,1
35 - 44,Sales,Medical,1588,Male,Sales Executive,Married,39,Bachelor's Degree,1
35 - 44,Sales,Marketing,1787,Male,Sales Executive,Married,37,Associates Degree,1
35 - 44,Sales,Marketing,1908,Male,Sales Executive,Married,36,Associates Degree,1
35 - 44,Sales,Life Sciences,1995,Male,Sales Executive,Married,38,Master's Degree,1
25 - 34,Sales,Life Sciences,1479,Male,Sales Executive,Married,30,High School,1
35 - 44,Sales,Life Sciences,1961,Male,Sales Representative,Single,38,Bachelor's Degree,1
35 - 44,Sales,Marketing,1975,Male,Sales Executive,Single,39,Master's Degree,1
35 - 44,Sales,Medical,1740,Male,Manager,Single,40,Master's Degree,1
25 - 34,Sales,Marketing,1924,Male,Sales Executive,Single,33,Master's Degree,1
25 - 34,Sales,Medical,1650,Male,Sales Executive,Single,29,Bachelor's Degree,1
25 - 34,Sales,Medical,1836,Male,Sales Executive,Single,26,Bachelor's Degree,1
25 - 34,Sales,Other,1478,Male,Sales Executive,Single,34,Bachelor's Degree,1
Under 25,Sales,Life Sciences,1680,Male,Sales Representative,Single,20,High School,1
25 - 34,Sales,Medical,1469,Male,Sales Executive,Single,28,Bachelor's Degree,1
35 - 44,Sales,Marketing,1708,Male,Sales Executive,Single,41,Bachelor's Degree,1
25 - 34,Sales,Marketing,1965,Male,Sales Executive,Single,27,Bachelor's Degree,1
45 - 54,Sales,Life Sciences,1602,Male,Manager,Single,46,Master's Degree,1
Under 25,R&D,Other,1605,Female,Research Scientist,Married,22,Associates Degree,1
35 - 44,R&D,Medical,1937,Female,Research Scientist,Divorced,38,Bachelor's Degree,1
Under 25,R&D,Technical Degree,1646,Female,Research Scientist,Single,24,High School,1
25 - 34,R&D,Life Sciences,1850,Female,Laboratory Technician,Single,27,Associates Degree,1
35 - 44,HR,Life Sciences,1683,Female,Human Resources,Divorced,44,Bachelor's Degree,1
35 - 44,HR,Life Sciences,2040,Female,Human Resources,Single,35,Master's Degree,1
35 - 44,R&D,Medical,1608,Female,Research Director,Divorced,44,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,1827,Female,Manufacturing Director,Divorced,47,Bachelor's Degree,1
45 - 54,R&D,Medical,1674,Female,Laboratory Technician,Divorced,49,Bachelor's Degree,1
25 - 34,R&D,Medical,1974,Female,Laboratory Technician,Divorced,31,High School,1
35 - 44,R&D,Other,1886,Female,Manufacturing Director,Married,35,Associates Degree,1
25 - 34,R&D,Life Sciences,1893,Female,Research Scientist,Married,26,Associates Degree,1
35 - 44,R&D,Life Sciences,1724,Female,Manufacturing Director,Married,40,Associates Degree,1
25 - 34,R&D,Medical,2009,Female,Healthcare Representative,Married,33,Associates Degree,1
45 - 54,R&D,Life Sciences,1661,Female,Healthcare Representative,Married,49,High School,1
35 - 44,R&D,Life Sciences,1703,Female,Healthcare Representative,Married,44,Bachelor's Degree,1
