Attrition,CF_attrition label,Employee Number,Gender,Job Role,Marital Status,Monthly Income,Performance Rating,Years Since Last Promotion,Years With Curr Manager
No,Current Employees,1951,Male,Sales Executive,Divorced,8628,3,1,1
No,Current Employees,1497,Male,Sales Executive,Divorced,8620,3,0,4
No,Current Employees,1670,Male,Sales Executive,Divorced,5505,3,0,4
No,Current Employees,1466,Male,Sales Executive,Divorced,5486,3,2,2
No,Current Employees,1548,Male,Sales Executive,Married,5473,3,7,1
No,Current Employees,1560,Male,Sales Executive,Married,6392,3,2,2
No,Current Employees,1996,Male,Sales Representative,Married,3067,3,1,2
No,Current Employees,1749,Male,Sales Executive,Married,8346,3,0,2
No,Current Employees,2013,Male,Sales Representative,Married,2269,3,2,2
No,Current Employees,1945,Male,Sales Executive,Married,5561,3,0,4
No,Current Employees,1568,Male,Sales Executive,Married,9250,3,1,3
No,Current Employees,1582,Male,Sales Executive,Married,9924,3,7,7
No,Current Employees,1739,Male,Sales Executive,Married,9610,3,0,2
No,Current Employees,1492,Male,Sales Representative,Married,2404,3,0,0
No,Current Employees,1446,Male,Sales Executive,Married,9204,3,0,3
No,Current Employees,1588,Male,Sales Executive,Married,8237,3,7,6
No,Current Employees,1787,Male,Sales Executive,Married,4189,3,0,3
No,Current Employees,1908,Male,Sales Executive,Married,5507,3,1,3
No,Current Employees,1995,Male,Sales Executive,Married,4440,3,5,8
No,Current Employees,1479,Male,Sales Executive,Married,5301,3,2,2
No,Current Employees,1961,Male,Sales Representative,Single,2858,3,0,0
No,Current Employees,1975,Male,Sales Executive,Single,13341,3,11,10
No,Current Employees,1740,Male,Manager,Single,19833,3,12,8
No,Current Employees,1924,Male,Sales Executive,Single,5487,3,0,9
No,Current Employees,1650,Male,Sales Executive,Single,5869,3,1,4
No,Current Employees,1836,Male,Sales Executive,Single,4684,3,1,2
No,Current Employees,1478,Male,Sales Executive,Single,4759,3,3,12
No,Current Employees,1680,Male,Sales Representative,Single,2728,3,0,2
No,Current Employees,1469,Male,Sales Executive,Single,8463,3,1,3
No,Current Employees,1708,Male,Sales Executive,Single,9241,3,8,7
No,Current Employees,1965,Male,Sales Executive,Single,4105,3,0,7
No,Current Employees,1602,Male,Manager,Single,17567,3,0,12
No,Current Employees,1605,Female,Research Scientist,Married,2814,3,1,3
No,Current Employees,1937,Female,Research Scientist,Divorced,2133,3,0,7
No,Current Employees,1646,Female,Research Scientist,Single,3760,3,1,3
No,Current Employees,1850,Female,Laboratory Technician,Single,2379,3,0,2
No,Current Employees,1683,Female,Human Resources,Divorced,3195,3,2,2
No,Current Employees,2040,Female,Human Resources,Single,8837,3,1,7
No,Current Employees,1608,Female,Research Director,Divorced,19049,3,1,10
No,Current Employees,1827,Female,Manufacturing Director,Divorced,10333,3,14,10
No,Current Employees,1674,Female,Laboratory Technician,Divorced,2587,3,2,2
No,Current Employees,1974,Female,Laboratory Technician,Divorced,1129,3,0,0
No,Current Employees,1886,Female,Manufacturing Director,Married,4788,3,0,2
No,Current Employees,1893,Female,Research Scientist,Married,2933,3,1,0
No,Current Employees,1724,Female,Manufacturing Director,Married,6516,3,0,0
No,Current Employees,2009,Female,Healthcare Representative,Married,4878,3,8,1
No,Current Employees,1661,Female,Healthcare Representative,Married,13966,3,2,12
No,Current Employees,1703,Female,Healthcare Representative,Married,7879,3,6,7
No,Current Employees,1638,Female,Manufacturing Director,Married,7756,3,0,2
No,Current Employees,1614,Female,Manufacturing Director,Married,4663,3,1,1
No,Current Employees,1587,Female,Healthcare Representative,Single,6142,3,0,4
No,Current Employees,1611,Female,Laboratory Technician,Single,5769,3,1,4
No,Current Employees,1980,Female,Manufacturing Director,Single,4440,3,1,4
No,Current Employees,1641,Female,Manufacturing Director,Single,7945,3,3,3
No,Current Employees,1815,Female,Sales Executive,Divorced,10447,3,13,5
No,Current Employees,1912,Female,Sales Executive,Divorced,6583,3,1,4
No,Current Employees,1962,Female,Sales Executive,Married,5204,3,0,9
No,Current Employees,1915,Female,Sales Executive,Married,8103,3,0,1
No,Current Employees,1880,Female,Sales Executive,Married,5673,3,1,7
No,Current Employees,1503,Female,Sales Executive,Married,4591,3,1,2
No,Current Employees,1938,Female,Manager,Married,17875,3,0,0
No,Current Employees,1445,Female,Sales Executive,Married,4162,3,0,3
No,Current Employees,1425,Female,Sales Executive,Single,9278,3,0,1
No,Current Employees,1552,Male,Healthcare Representative,Divorced,4069,3,2,2
No,Current Employees,1948,Male,Research Scientist,Divorced,3065,3,2,3
No,Current Employees,1737,Male,Laboratory Technician,Married,6472,3,5,8
No,Current Employees,1774,Male,Sales Executive,Divorced,4001,3,0,7
No,Current Employees,1642,Male,Human Resources,Married,5743,3,0,2
No,Current Employees,1972,Male,Human Resources,Married,2991,3,1,2
No,Current Employees,1837,Male,Research Director,Married,15787,3,2,2
No,Current Employees,1932,Male,Research Scientist,Married,5747,3,6,11
No,Current Employees,1594,Male,Laboratory Technician,Married,5562,3,0,2
No,Current Employees,1606,Male,Healthcare Representative,Married,11245,3,12,13
No,Current Employees,1547,Male,Healthcare Representative,Married,10124,3,13,9
No,Current Employees,2049,Male,Healthcare Representative,Married,5689,3,0,2
No,Current Employees,1704,Male,Research Scientist,Single,4930,3,1,4
No,Current Employees,1496,Male,Manufacturing Director,Single,10209,3,2,2
No,Current Employees,1539,Male,Research Director,Single,14411,3,13,9
No,Current Employees,1753,Male,Healthcare Representative,Single,6294,3,0,2
No,Current Employees,1927,Male,Sales Executive,Married,6834,3,0,7
No,Current Employees,1973,Male,Manager,Married,19636,3,1,4
No,Current Employees,1460,Male,Healthcare Representative,Divorced,10851,3,0,7
No,Current Employees,1789,Male,Research Director,Divorced,19328,3,2,2
No,Current Employees,1998,Male,Research Scientist,Divorced,5410,3,1,2
No,Current Employees,1992,Male,Laboratory Technician,Divorced,3977,3,0,2
No,Current Employees,1448,Male,Research Scientist,Married,2127,3,0,3
No,Current Employees,1501,Male,Healthcare Representative,Married,4035,3,1,2
No,Current Employees,1766,Male,Healthcare Representative,Married,5811,3,1,0
No,Current Employees,1549,Male,Laboratory Technician,Married,5207,3,5,7
No,Current Employees,2053,Male,Laboratory Technician,Married,4025,3,0,3
No,Current Employees,1790,Male,Healthcare Representative,Married,8321,3,5,7
No,Current Employees,2003,Male,Laboratory Technician,Married,2660,3,2,2
No,Current Employees,1465,Male,Manufacturing Director,Married,9380,3,1,2
No,Current Employees,1755,Male,Research Scientist,Married,2932,3,1,2
No,Current Employees,1586,Male,Laboratory Technician,Single,4723,3,1,5
No,Current Employees,2020,Male,Research Scientist,Single,2436,3,1,2
No,Current Employees,1515,Male,Healthcare Representative,Single,6388,3,0,0
No,Current Employees,1669,Male,Sales Executive,Divorced,4187,3,0,9
No,Current Employees,1732,Male,Sales Executive,Divorced,10368,3,0,3
No,Current Employees,1943,Male,Sales Executive,Divorced,5087,3,0,0
No,Current Employees,1535,Male,Sales Executive,Married,7083,3,8,6
No,Current Employees,1591,Male,Manager,Married,19331,3,0,0
No,Current Employees,1706,Male,Sales Executive,Married,7847,3,8,8
No,Current Employees,1882,Male,Sales Executive,Married,9713,3,1,0
No,Current Employees,2021,Male,Sales Representative,Single,2380,3,1,2
No,Current Employees,1678,Male,Sales Executive,Single,7082,3,0,2
No,Current Employees,1979,Female,Research Director,Married,11031,4,4,8
No,Current Employees,1845,Female,Sales Executive,Married,5154,4,5,7
No,Current Employees,1520,Female,Manager,Divorced,16032,4,1,12
No,Current Employees,1675,Female,Laboratory Technician,Single,2440,4,3,3
No,Current Employees,1736,Female,Manufacturing Director,Single,5238,4,1,4
No,Current Employees,1744,Female,Human Resources,Married,9756,4,0,3
No,Current Employees,1622,Female,Manufacturing Director,Divorced,4877,4,0,0
No,Current Employees,1581,Female,Research Scientist,Married,2061,4,0,0
No,Current Employees,2034,Female,Manufacturing Director,Married,13570,4,0,10
No,Current Employees,1441,Female,Research Scientist,Married,2066,4,1,0
No,Current Employees,1665,Female,Manager,Married,17426,4,4,7
No,Current Employees,1509,Female,Laboratory Technician,Married,4789,4,1,2
No,Current Employees,1834,Female,Research Scientist,Married,3591,4,1,2
No,Current Employees,1864,Female,Sales Representative,Married,3540,4,5,8
No,Current Employees,1909,Female,Sales Executive,Married,4393,4,1,4
No,Current Employees,1554,Female,Sales Representative,Married,2430,4,4,2
No,Current Employees,2035,Female,Sales Executive,Married,6712,4,1,7
No,Current Employees,2026,Male,Healthcare Representative,Divorced,6306,4,1,9
No,Current Employees,1949,Male,Laboratory Technician,Married,2810,4,0,2
No,Current Employees,1712,Male,Healthcare Representative,Married,10748,4,14,4
No,Current Employees,1854,Male,Research Scientist,Married,2936,4,3,3
No,Current Employees,1693,Male,Laboratory Technician,Single,2570,4,5,7
No,Current Employees,1824,Male,Manager,Divorced,16291,4,14,14
No,Current Employees,2036,Male,Sales Executive,Divorced,5406,4,11,11
No,Current Employees,1890,Male,Human Resources,Single,3886,4,0,8
No,Current Employees,1970,Male,Healthcare Representative,Divorced,5968,4,2,8
No,Current Employees,1956,Male,Research Scientist,Married,5003,4,8,7
No,Current Employees,1644,Male,Manager,Married,15202,4,2,2
No,Current Employees,1849,Male,Sales Executive,Married,5675,4,7,7
No,Current Employees,1499,Male,Human Resources,Divorced,2064,4,1,3
No,Current Employees,1697,Male,Healthcare Representative,Divorced,10883,4,0,0
No,Current Employees,1664,Male,Healthcare Representative,Divorced,6842,4,0,4
No,Current Employees,1772,Male,Laboratory Technician,Divorced,2289,4,0,4
No,Current Employees,1768,Male,Laboratory Technician,Divorced,2766,4,0,4
No,Current Employees,1654,Male,Manufacturing Director,Married,5295,4,1,0
No,Current Employees,1936,Male,Manufacturing Director,Married,5151,4,7,9
No,Current Employees,1873,Male,Research Scientist,Married,2662,4,0,4
No,Current Employees,1483,Male,Research Scientist,Married,4900,4,2,8
No,Current Employees,1666,Male,Research Director,Married,17603,4,6,11
No,Current Employees,1999,Male,Research Scientist,Married,2782,4,1,0
No,Current Employees,1546,Male,Research Scientist,Married,2132,4,0,3
No,Current Employees,1993,Male,Healthcare Representative,Single,8633,4,12,11
No,Current Employees,1800,Male,Research Director,Single,13464,4,2,2
No,Current Employees,1516,Male,Manager,Single,11244,4,0,0
No,Current Employees,1966,Male,Manufacturing Director,Single,9679,4,0,0
No,Current Employees,1595,Male,Manager,Single,19613,4,0,1
No,Current Employees,1578,Male,Manager,Married,19586,4,2,13
No,Current Employees,1823,Male,Sales Executive,Married,6799,4,4,8
No,Current Employees,1950,Male,Sales Executive,Single,9888,4,2,1
No,Current Employees,1775,Female,Manufacturing Director,Married,12965,4,0,2
No,Current Employees,1681,Female,Sales Executive,Divorced,5368,4,1,2
No,Current Employees,2017,Female,Research Director,Married,13744,4,6,8
No,Current Employees,1423,Female,Research Director,Married,19701,4,1,5
No,Current Employees,1847,Female,Research Scientist,Married,6962,4,0,0
No,Current Employees,2018,Female,Sales Executive,Divorced,4907,4,0,4
No,Current Employees,1835,Female,Sales Representative,Married,5405,4,0,3
No,Current Employees,1550,Male,Manager,Single,16437,4,7,7
No,Current Employees,2064,Male,Manufacturing Director,Married,6142,4,0,3
No,Current Employees,1885,Male,Research Scientist,Married,4284,4,0,4
No,Current Employees,1541,Male,Sales Representative,Married,2308,4,5,7
No,Current Employees,1556,Male,Sales Representative,Single,2644,4,1,2
Yes,Ex-Employees,1747,Female,Human Resources,Divorced,2180,3,1,2
Yes,Ex-Employees,1944,Female,Human Resources,Married,2863,3,0,0
Yes,Ex-Employees,1459,Female,Manufacturing Director,Single,7446,3,4,7
Yes,Ex-Employees,1537,Female,Research Scientist,Single,4084,3,7,7
Yes,Ex-Employees,1487,Female,Sales Executive,Single,5765,3,0,0
Yes,Ex-Employees,1427,Female,Sales Representative,Single,1359,3,0,0
Yes,Ex-Employees,1467,Female,Human Resources,Married,2742,3,2,2
Yes,Ex-Employees,1572,Female,Manufacturing Director,Married,10169,3,1,9
Yes,Ex-Employees,1433,Female,Research Scientist,Single,1261,3,0,0
Yes,Ex-Employees,1752,Female,Sales Representative,Single,2760,3,2,2
Yes,Ex-Employees,1807,Male,Laboratory Technician,Married,5346,3,0,7
Yes,Ex-Employees,1504,Male,Laboratory Technician,Single,2561,3,0,0
Yes,Ex-Employees,2044,Male,Sales Executive,Divorced,6728,3,0,1
Yes,Ex-Employees,1716,Male,Sales Executive,Married,12936,3,14,10
Yes,Ex-Employees,1486,Male,Sales Representative,Married,2909,3,1,2
Yes,Ex-Employees,2023,Male,Sales Representative,Married,1790,3,1,0
Yes,Ex-Employees,1928,Male,Sales Representative,Single,1091,3,0,0
Yes,Ex-Employees,1842,Male,Human Resources,Married,2956,3,0,0
Yes,Ex-Employees,1714,Male,Human Resources,Married,1555,3,0,0
Yes,Ex-Employees,1960,Male,Laboratory Technician,Divorced,2367,3,0,3
Yes,Ex-Employees,2032,Male,Laboratory Technician,Married,2339,3,9,8
Yes,Ex-Employees,1573,Male,Manufacturing Director,Married,4855,3,1,4
Yes,Ex-Employees,1522,Male,Research Scientist,Single,2362,3,0,7
Yes,Ex-Employees,1907,Male,Laboratory Technician,Single,2587,3,1,0
Yes,Ex-Employees,1534,Male,Laboratory Technician,Single,2018,3,1,0
Yes,Ex-Employees,1809,Male,Manufacturing Director,Single,4213,3,0,8
Yes,Ex-Employees,1692,Male,Laboratory Technician,Single,1393,3,0,0
Yes,Ex-Employees,1457,Male,Sales Executive,Divorced,10096,3,4,3
Yes,Ex-Employees,1439,Male,Sales Representative,Married,4400,3,2,2
Yes,Ex-Employees,1639,Male,Sales Executive,Married,10306,3,6,0
Yes,Ex-Employees,1562,Male,Sales Executive,Married,9714,3,6,7
Yes,Ex-Employees,1761,Male,Sales Executive,Married,8161,3,0,0
Yes,Ex-Employees,1734,Male,Sales Executive,Single,6735,3,0,0
Yes,Ex-Employees,1780,Male,Sales Representative,Single,2679,3,1,0
Yes,Ex-Employees,1876,Male,Sales Representative,Single,1081,3,0,0
Yes,Ex-Employees,1939,Female,Research Scientist,Single,2432,3,0,3
Yes,Ex-Employees,1421,Female,Healthcare Representative,Single,7553,3,7,7
Yes,Ex-Employees,1691,Female,Sales Representative,Married,2655,3,7,7
Yes,Ex-Employees,1624,Female,Sales Representative,Single,1569,3,0,0
Yes,Ex-Employees,1818,Female,Human Resources,Married,2148,3,1,4
Yes,Ex-Employees,1569,Female,Laboratory Technician,Divorced,2074,3,0,0
Yes,Ex-Employees,1783,Female,Laboratory Technician,Married,2398,3,0,0
Yes,Ex-Employees,1933,Female,Sales Executive,Single,9854,3,2,2
Yes,Ex-Employees,1792,Male,Research Scientist,Divorced,2342,3,2,3
Yes,Ex-Employees,1464,Male,Laboratory Technician,Married,3722,3,2,2
Yes,Ex-Employees,1767,Male,Research Scientist,Married,2437,3,0,0
Yes,Ex-Employees,1494,Male,Laboratory Technician,Single,3172,3,0,0
Yes,Ex-Employees,1967,Male,Sales Executive,Married,5617,3,0,8
Yes,Ex-Employees,1844,Male,Human Resources,Divorced,2335,3,2,0
Yes,Ex-Employees,2027,Male,Research Scientist,Married,4787,3,2,2
Yes,Ex-Employees,1604,Male,Laboratory Technician,Married,2408,3,0,0
Yes,Ex-Employees,1649,Male,Laboratory Technician,Single,2166,3,0,3
Yes,Ex-Employees,1684,Male,Laboratory Technician,Single,3989,3,1,2
Yes,Ex-Employees,2055,Male,Sales Executive,Divorced,10854,3,2,0
Yes,Ex-Employees,1645,Male,Sales Executive,Divorced,5440,3,2,2
Yes,Ex-Employees,1733,Male,Sales Executive,Divorced,6134,3,2,2
Yes,Ex-Employees,1968,Male,Sales Executive,Single,10448,3,2,2
Yes,Ex-Employees,1862,Male,Sales Executive,Single,9907,3,2,2
Yes,Ex-Employees,1797,Male,Sales Executive,Single,5813,3,7,7
Yes,Ex-Employees,1821,Female,Healthcare Representative,Married,8926,4,3,7
Yes,Ex-Employees,1869,Female,Sales Executive,Married,7314,4,0,7
Yes,Ex-Employees,1420,Male,Laboratory Technician,Single,4284,4,1,3
Yes,Ex-Employees,1458,Female,Laboratory Technician,Single,3646,4,0,0
Yes,Ex-Employees,1489,Female,Sales Executive,Single,4599,4,10,10
Yes,Ex-Employees,1758,Female,Sales Executive,Single,8564,4,0,0
Yes,Ex-Employees,1905,Male,Research Scientist,Married,2307,4,3,0
Yes,Ex-Employees,1868,Male,Research Scientist,Single,2439,4,1,0
Yes,Ex-Employees,1667,Male,Sales Executive,Single,4581,4,6,7
Yes,Ex-Employees,1878,Male,Research Scientist,Single,2472,4,0,0
Yes,Ex-Employees,1702,Male,Sales Representative,Divorced,2275,4,0,2
